intblock_id,country_code,include_type,status,joined,left
2OCEANS,AR,country,member,,
2OCEANS,AU,country,member,,
2OCEANS,CA,country,member,,
2OCEANS,CL,country,member,,
2OCEANS,CO,country,member,,
2OCEANS,CR,country,member,,
2OCEANS,EG,country,member,,
2OCEANS,FR,country,member,,
2OCEANS,GB,country,member,,
2OCEANS,GL,country,member,,
2OCEANS,GT,country,member,,
2OCEANS,HN,country,member,,
2OCEANS,ID,country,member,,
2OCEANS,IL,country,member,,
2OCEANS,IS,country,member,,
2OCEANS,MX,country,member,,
2OCEANS,MY,country,member,,
2OCEANS,NI,country,member,,
2OCEANS,NO,country,member,,
2OCEANS,PA,country,member,,
2OCEANS,RU,country,member,,
2OCEANS,TH,country,member,,
2OCEANS,TL,country,member,,
2OCEANS,US,country,member,,
2OCEANS,ZA,country,member,,
3GC,BD,country,member,,
3GC,CN,country,member,,
3GC,EG,country,member,,
3GC,ID,country,member,,
3GC,IN,country,member,,
3GC,IQ,country,member,,
3GC,LK,country,member,,
3GC,MN,country,member,,
3GC,NG,country,member,,
3GC,PH,country,member,,
3GC,VN,country,member,,
AACB,AO,country,member,,
AACB,BF,country,member,,
AACB,BI,country,member,,
AACB,BJ,country,member,,
AACB,BW,country,member,,
AACB,CD,country,member,,
AACB,CF,country,member,,
AACB,CG,country,member,,
AACB,CI,country,member,,
AACB,CM,country,member,,
AACB,CV,country,member,,
AACB,DJ,country,member,,
AACB,DZ,country,member,,
AACB,EG,country,member,,
AACB,ET,country,member,,
AACB,GA,country,member,,
AACB,GH,country,member,,
AACB,GM,country,member,,
AACB,GN,country,member,,
AACB,GQ,country,member,,
AACB,GW,country,member,,
AACB,KE,country,member,,
AACB,KM,country,member,,
AACB,LR,country,member,,
AACB,LS,country,member,,
AACB,LY,country,member,,
AACB,MA,country,member,,
AACB,MG,country,member,,
AACB,ML,country,member,,
AACB,MR,country,member,,
AACB,MU,country,member,,
AACB,MW,country,member,,
AACB,MZ,country,member,,
AACB,NA,country,member,,
AACB,NE,country,member,,
AACB,NG,country,member,,
AACB,RW,country,member,,
AACB,SC,country,member,,
AACB,SD,country,member,,
AACB,SL,country,member,,
AACB,SN,country,member,,
AACB,SO,country,member,,
AACB,SS,country,member,,
AACB,ST,country,member,,
AACB,SZ,country,member,,
AACB,TD,country,member,,
AACB,TG,country,member,,
AACB,TN,country,member,,
AACB,TZ,country,member,,
AACB,UG,country,member,,
AACB,ZA,country,member,,
AACB,ZM,country,member,,
AACB,ZW,country,member,,
AAGC,BD,country,member,,
AAGC,IN,country,founding_member,2017-05-25,
AAGC,IR,country,member,,
AAGC,JP,country,founding_member,2017-05-25,
AAGC,KE,country,member,,
AAGC,LK,country,member,,
AAGC,MG,country,member,,
AAGC,MM,country,member,,
AAGC,MN,country,member,,
AAGC,MU,country,member,,
AAGC,MV,country,member,,
AAGC,SC,country,member,,
AAGC,SG,country,member,,
AAGC,TH,country,member,,
AAGC,TZ,country,member,,
AAGC,ZM,country,member,,
AAGC,ZW,country,member,,
AALCO,BD,country,member,,
AALCO,BF,country,member,,
AALCO,BH,country,member,,
AALCO,BN,country,member,,
AALCO,CM,country,member,,
AALCO,CN,country,member,,
AALCO,CY,country,member,,
AALCO,EG,country,member,,
AALCO,GH,country,member,,
AALCO,GM,country,member,,
AALCO,ID,country,member,,
AALCO,IN,country,member,,
AALCO,IQ,country,member,,
AALCO,IR,country,member,,
AALCO,JO,country,member,,
AALCO,JP,country,member,,
AALCO,KE,country,member,,
AALCO,KP,country,member,,
AALCO,KR,country,member,,
AALCO,KW,country,member,,
AALCO,LB,country,member,,
AALCO,LK,country,member,,
AALCO,LY,country,member,,
AALCO,MM,country,member,,
AALCO,MN,country,member,,
AALCO,MU,country,member,,
AALCO,MY,country,member,,
AALCO,NG,country,member,,
AALCO,NP,country,member,,
AALCO,OM,country,member,,
AALCO,PH,country,member,,
AALCO,PK,country,member,,
AALCO,PS,country,member,,
AALCO,QA,country,member,,
AALCO,SA,country,member,,
AALCO,SD,country,member,,
AALCO,SG,country,member,,
AALCO,SN,country,member,,
AALCO,SO,country,member,,
AALCO,SY,country,member,,
AALCO,TH,country,member,,
AALCO,TR,country,member,,
AALCO,TZ,country,member,,
AALCO,UG,country,member,,
AALCO,VN,country,member,,
AALCO,YE,country,member,,
AALCO,ZA,country,member,,
AAMAC,BF,country,member,2012-01-20,
AAMAC,BJ,country,member,2012-01-20,
AAMAC,CF,country,member,2012-01-20,
AAMAC,CG,country,member,2012-01-20,
AAMAC,CI,country,member,2012-01-20,
AAMAC,CM,country,member,2012-01-20,
AAMAC,GA,country,member,2012-01-20,
AAMAC,GQ,country,member,2012-01-20,
AAMAC,GW,country,member,2012-01-20,
AAMAC,KM,country,member,2012-01-20,
AAMAC,MG,country,member,2012-01-20,
AAMAC,ML,country,member,2012-01-20,
AAMAC,MR,country,member,2012-01-20,
AAMAC,NE,country,member,2012-01-20,
AAMAC,SN,country,member,2012-01-20,
AAMAC,TD,country,member,2012-01-20,
AAMAC,TG,country,member,2012-01-20,
AANZFTA,AU,country,founding_member,2010-01-01,
AANZFTA,BN,country,founding_member,2010-01-01,
AANZFTA,ID,country,founding_member,2012-01-10,
AANZFTA,KH,country,founding_member,2011-01-04,
AANZFTA,LA,country,founding_member,2011-01-01,
AANZFTA,MM,country,founding_member,2010-01-01,
AANZFTA,MY,country,founding_member,2010-01-01,
AANZFTA,NZ,country,founding_member,2010-01-01,
AANZFTA,PH,country,founding_member,2010-01-01,
AANZFTA,SG,country,founding_member,2010-01-01,
AANZFTA,TH,country,founding_member,2010-03-12,
AANZFTA,VN,country,founding_member,2010-01-01,
AAU,AE,country,member,,
AAU,AO,country,member,,
AAU,BF,country,member,,
AAU,BI,country,member,,
AAU,BJ,country,member,,
AAU,BW,country,member,,
AAU,CD,country,member,,
AAU,CF,country,member,,
AAU,CG,country,member,,
AAU,CI,country,member,,
AAU,CM,country,member,,
AAU,CV,country,member,,
AAU,DE,country,member,,
AAU,DZ,country,member,,
AAU,EG,country,member,,
AAU,ER,country,member,,
AAU,ET,country,member,,
AAU,GA,country,member,,
AAU,GH,country,member,,
AAU,GM,country,member,,
AAU,KE,country,member,,
AAU,LR,country,member,,
AAU,LS,country,member,,
AAU,LY,country,member,,
AAU,MA,country,member,,
AAU,MG,country,member,,
AAU,ML,country,member,,
AAU,MR,country,member,,
AAU,MU,country,member,,
AAU,MW,country,member,,
AAU,MY,country,member,,
AAU,MZ,country,member,,
AAU,NA,country,member,,
AAU,NE,country,member,,
AAU,NG,country,member,,
AAU,RW,country,member,,
AAU,SD,country,member,,
AAU,SL,country,member,,
AAU,SN,country,member,,
AAU,SO,country,member,,
AAU,SS,country,member,,
AAU,SZ,country,member,,
AAU,TD,country,member,,
AAU,TG,country,member,,
AAU,TN,country,member,,
AAU,TZ,country,member,,
AAU,UG,country,member,,
AAU,ZA,country,member,,
AAU,ZM,country,member,,
AAU,ZW,country,member,,
ABCANZ,AU,country,member,,
ABCANZ,CA,country,member,,
ABCANZ,GB,country,member,,
ABCANZ,NZ,country,member,,
ABCANZ,US,country,member,,
ABCZNZ,AU,country,member,,
ABCZNZ,CA,country,member,,
ABCZNZ,GB,country,member,,
ABCZNZ,NZ,country,member,,
ABCZNZ,US,country,member,,
ABIDJAN,AO,country,member,2017,
ABIDJAN,BJ,country,founding_member,1997-12-16,
ABIDJAN,CD,country,member,2014-08-17,
ABIDJAN,CG,country,founding_member,1988-02-19,
ABIDJAN,CI,country,founding_member,1984-08-05,
ABIDJAN,CM,country,member,1984-08-05,
ABIDJAN,CV,country,member,2019,
ABIDJAN,GA,country,founding_member,1989-02-11,
ABIDJAN,GH,country,founding_member,1989-09-18,
ABIDJAN,GM,country,founding_member,1985-02-05,
ABIDJAN,GN,country,founding_member,1984-08-05,
ABIDJAN,GW,country,member,2012-04-12,
ABIDJAN,LR,country,founding_member,2005-05-21,
ABIDJAN,MR,country,member,2012-06-17,
ABIDJAN,NA,country,member,2017,
ABIDJAN,NG,country,founding_member,1984-08-05,
ABIDJAN,SL,country,member,2005-05-21,
ABIDJAN,SN,country,founding_member,1984-08-05,
ABIDJAN,TG,country,founding_member,1984-08-05,
ABIDJAN,ZA,country,member,2002-07-15,
ACAO,AE,country,member,,
ACAO,BH,country,member,,
ACAO,DJ,country,member,,
ACAO,DZ,country,member,,
ACAO,EG,country,member,,
ACAO,IQ,country,member,,
ACAO,JO,country,member,,
ACAO,KM,country,member,,
ACAO,KW,country,member,,
ACAO,LB,country,member,,
ACAO,LY,country,member,,
ACAO,MA,country,member,,
ACAO,MR,country,member,,
ACAO,OM,country,member,,
ACAO,PS,country,member,,
ACAO,QA,country,member,,
ACAO,SA,country,member,,
ACAO,SD,country,member,,
ACAO,SO,country,member,,
ACAO,SY,country,member,,
ACAO,TN,country,member,,
ACAO,YE,country,member,,
ACBF,BF,country,member,,
ACBF,BI,country,member,,
ACBF,BJ,country,member,,
ACBF,BW,country,member,,
ACBF,CD,country,member,,
ACBF,CF,country,member,,
ACBF,CG,country,member,,
ACBF,CI,country,member,,
ACBF,CM,country,member,,
ACBF,CV,country,member,,
ACBF,DJ,country,member,,
ACBF,ET,country,member,,
ACBF,GA,country,member,,
ACBF,GH,country,member,,
ACBF,GM,country,member,,
ACBF,GN,country,member,,
ACBF,GW,country,member,,
ACBF,KE,country,member,,
ACBF,KM,country,member,,
ACBF,LR,country,member,,
ACBF,MG,country,member,,
ACBF,ML,country,member,,
ACBF,MR,country,member,,
ACBF,MU,country,member,,
ACBF,MW,country,member,,
ACBF,NA,country,member,,
ACBF,NE,country,member,,
ACBF,NG,country,member,,
ACBF,RW,country,member,,
ACBF,SD,country,member,,
ACBF,SL,country,member,,
ACBF,SN,country,member,,
ACBF,ST,country,member,,
ACBF,SZ,country,member,,
ACBF,TD,country,member,,
ACBF,TG,country,member,,
ACBF,TZ,country,member,,
ACBF,UG,country,member,,
ACBF,ZM,country,member,,
ACBF,ZW,country,member,,
ACCSQ,BN,country,member,1984-01-07,
ACCSQ,ID,country,member,1967-08-08,
ACCSQ,KH,country,member,1999-04-30,
ACCSQ,LA,country,member,1997-07-23,
ACCSQ,MM,country,member,1997-07-23,
ACCSQ,MY,country,member,1967-08-08,
ACCSQ,PH,country,member,1967-08-08,
ACCSQ,SG,country,member,1967-08-08,
ACCSQ,TH,country,member,1967-08-08,
ACCSQ,TL,country,member,2025-10-26,
ACCSQ,VN,country,member,1995-07-28,
ACD,AE,country,member,,
ACD,AF,country,member,,
ACD,BD,country,member,,
ACD,BH,country,member,,
ACD,BN,country,member,,
ACD,BT,country,member,,
ACD,CN,country,member,,
ACD,ID,country,member,,
ACD,IN,country,member,,
ACD,IR,country,member,,
ACD,JP,country,member,,
ACD,KG,country,member,,
ACD,KH,country,member,,
ACD,KR,country,member,,
ACD,KW,country,member,,
ACD,KZ,country,member,,
ACD,LA,country,member,,
ACD,LK,country,member,,
ACD,MM,country,member,,
ACD,MN,country,member,,
ACD,MY,country,member,,
ACD,NP,country,member,,
ACD,OM,country,member,,
ACD,PH,country,member,,
ACD,PK,country,member,,
ACD,PS,country,member,,
ACD,QA,country,member,,
ACD,RU,country,member,,
ACD,SA,country,member,,
ACD,SG,country,member,,
ACD,TH,country,member,,
ACD,TJ,country,member,,
ACD,TR,country,member,,
ACD,UZ,country,member,,
ACD,VN,country,member,,
ACF,AM,country,member,2009-06-09,
ACF,BY,country,member,2009-06-09,
ACF,KG,country,member,2009-06-09,
ACF,KZ,country,member,2009-06-09,
ACF,RU,country,member,2009-06-09,
ACF,TJ,country,member,2009-06-09,
ACGF,CA,country,member,2015-10-30,
ACGF,DK,country,member,2015-10-30,
ACGF,FI,country,member,2015-10-30,
ACGF,IS,country,member,2015-10-30,
ACGF,NO,country,member,2015-10-30,
ACGF,RU,country,member,2015-10-30,
ACGF,SE,country,member,2015-10-30,
ACGF,US,country,member,2015-10-30,
ACIL,AE,country,member,,
ACIL,BH,country,member,,
ACIL,DJ,country,member,,
ACIL,DZ,country,member,,
ACIL,EG,country,member,,
ACIL,IQ,country,member,,
ACIL,JO,country,member,,
ACIL,KM,country,member,,
ACIL,KW,country,member,,
ACIL,LB,country,member,,
ACIL,LY,country,member,,
ACIL,MA,country,member,,
ACIL,MR,country,member,,
ACIL,OM,country,member,,
ACIL,PS,country,member,,
ACIL,QA,country,member,,
ACIL,SA,country,member,,
ACIL,SD,country,member,,
ACIL,SO,country,member,,
ACIL,SY,country,member,,
ACIL,TN,country,member,,
ACIL,YE,country,member,,
ACMECS,KH,country,member,2003-11-12,
ACMECS,LA,country,member,2003-11-12,
ACMECS,MM,country,member,2003-11-12,
ACMECS,TH,country,member,2003-11-12,
ACMECS,VN,country,member,2004-05-10,
ACP,AG,country,member,,
ACP,AO,country,member,,
ACP,BB,country,member,,
ACP,BF,country,member,,
ACP,BI,country,member,,
ACP,BJ,country,member,,
ACP,BS,country,member,,
ACP,BW,country,member,,
ACP,BZ,country,member,,
ACP,CD,country,member,,
ACP,CF,country,member,,
ACP,CG,country,member,,
ACP,CI,country,member,,
ACP,CM,country,member,,
ACP,CU,country,member,,
ACP,CV,country,member,,
ACP,DJ,country,member,,
ACP,DM,country,member,,
ACP,DO,country,member,,
ACP,EG,country,member,,
ACP,ER,country,member,,
ACP,ET,country,member,,
ACP,FJ,country,member,,
ACP,FM,country,member,,
ACP,GA,country,member,,
ACP,GD,country,member,,
ACP,GH,country,member,,
ACP,GM,country,member,,
ACP,GN,country,member,,
ACP,GQ,country,member,,
ACP,GW,country,member,,
ACP,GY,country,member,,
ACP,HT,country,member,,
ACP,JM,country,member,,
ACP,KE,country,member,,
ACP,KI,country,member,,
ACP,KM,country,member,,
ACP,KN,country,member,,
ACP,LC,country,member,,
ACP,LR,country,member,,
ACP,LS,country,member,,
ACP,MG,country,member,,
ACP,MH,country,member,,
ACP,ML,country,member,,
ACP,MR,country,member,,
ACP,MU,country,member,,
ACP,MW,country,member,,
ACP,MZ,country,member,,
ACP,NA,country,member,,
ACP,NC,country,member,,
ACP,NE,country,member,,
ACP,NG,country,member,,
ACP,NR,country,member,,
ACP,PF,country,member,,
ACP,PG,country,member,,
ACP,PW,country,member,,
ACP,RW,country,member,,
ACP,SB,country,member,,
ACP,SC,country,member,,
ACP,SD,country,member,,
ACP,SL,country,member,,
ACP,SN,country,member,,
ACP,SO,country,member,,
ACP,SR,country,member,,
ACP,SS,country,member,,
ACP,ST,country,member,,
ACP,SZ,country,member,,
ACP,TD,country,member,,
ACP,TG,country,member,,
ACP,TL,country,member,,
ACP,TO,country,member,,
ACP,TT,country,member,,
ACP,TV,country,member,,
ACP,TZ,country,member,,
ACP,UG,country,member,,
ACP,VC,country,member,,
ACP,VU,country,member,,
ACP,WS,country,member,,
ACP,ZA,country,member,,
ACP,ZM,country,member,,
ACP,ZW,country,member,,
ACPEUPA,AG,country,member,,
ACPEUPA,AO,country,member,,
ACPEUPA,AT,country,member,,
ACPEUPA,BB,country,member,,
ACPEUPA,BE,country,member,,
ACPEUPA,BF,country,member,,
ACPEUPA,BG,country,member,,
ACPEUPA,BI,country,member,,
ACPEUPA,BJ,country,member,,
ACPEUPA,BS,country,member,,
ACPEUPA,BW,country,member,,
ACPEUPA,BZ,country,member,,
ACPEUPA,CD,country,member,,
ACPEUPA,CF,country,member,,
ACPEUPA,CG,country,member,,
ACPEUPA,CI,country,member,,
ACPEUPA,CK,country,member,,
ACPEUPA,CM,country,member,,
ACPEUPA,CV,country,member,,
ACPEUPA,CY,country,member,,
ACPEUPA,CZ,country,member,,
ACPEUPA,DE,country,member,,
ACPEUPA,DJ,country,member,,
ACPEUPA,DK,country,member,,
ACPEUPA,DM,country,member,,
ACPEUPA,DO,country,member,,
ACPEUPA,EE,country,member,,
ACPEUPA,EG,country,member,,
ACPEUPA,ER,country,member,,
ACPEUPA,ES,country,member,,
ACPEUPA,ET,country,member,,
ACPEUPA,FI,country,member,,
ACPEUPA,FJ,country,member,,
ACPEUPA,FM,country,member,,
ACPEUPA,FR,country,member,,
ACPEUPA,GA,country,member,,
ACPEUPA,GD,country,member,,
ACPEUPA,GH,country,member,,
ACPEUPA,GM,country,member,,
ACPEUPA,GN,country,member,,
ACPEUPA,GQ,country,member,,
ACPEUPA,GR,country,member,,
ACPEUPA,GW,country,member,,
ACPEUPA,GY,country,member,,
ACPEUPA,HR,country,member,,
ACPEUPA,HT,country,member,,
ACPEUPA,HU,country,member,,
ACPEUPA,IE,country,member,,
ACPEUPA,IT,country,member,,
ACPEUPA,JM,country,member,,
ACPEUPA,KE,country,member,,
ACPEUPA,KI,country,member,,
ACPEUPA,KM,country,member,,
ACPEUPA,KN,country,member,,
ACPEUPA,LC,country,member,,
ACPEUPA,LR,country,member,,
ACPEUPA,LS,country,member,,
ACPEUPA,LT,country,member,,
ACPEUPA,LU,country,member,,
ACPEUPA,LV,country,member,,
ACPEUPA,MG,country,member,,
ACPEUPA,MH,country,member,,
ACPEUPA,ML,country,member,,
ACPEUPA,MR,country,member,,
ACPEUPA,MT,country,member,,
ACPEUPA,MU,country,member,,
ACPEUPA,MW,country,member,,
ACPEUPA,MZ,country,member,,
ACPEUPA,NA,country,member,,
ACPEUPA,NE,country,member,,
ACPEUPA,NG,country,member,,
ACPEUPA,NL,country,member,,
ACPEUPA,NR,country,member,,
ACPEUPA,NU,country,member,,
ACPEUPA,PG,country,member,,
ACPEUPA,PL,country,member,,
ACPEUPA,PT,country,member,,
ACPEUPA,PW,country,member,,
ACPEUPA,RO,country,member,,
ACPEUPA,RW,country,member,,
ACPEUPA,SB,country,member,,
ACPEUPA,SC,country,member,,
ACPEUPA,SD,country,member,,
ACPEUPA,SE,country,member,,
ACPEUPA,SI,country,member,,
ACPEUPA,SK,country,member,,
ACPEUPA,SL,country,member,,
ACPEUPA,SN,country,member,,
ACPEUPA,SO,country,member,,
ACPEUPA,SR,country,member,,
ACPEUPA,SS,country,member,,
ACPEUPA,ST,country,member,,
ACPEUPA,SZ,country,member,,
ACPEUPA,TD,country,member,,
ACPEUPA,TG,country,member,,
ACPEUPA,TL,country,member,,
ACPEUPA,TO,country,member,,
ACPEUPA,TT,country,member,,
ACPEUPA,TV,country,member,,
ACPEUPA,TZ,country,member,,
ACPEUPA,UG,country,member,,
ACPEUPA,VC,country,member,,
ACPEUPA,VU,country,member,,
ACPEUPA,WS,country,member,,
ACPEUPA,ZM,country,member,,
ACPEUPA,ZW,country,member,,
ACS,AG,country,member,,
ACS,AW,country,member,,
ACS,BB,country,member,,
ACS,BS,country,member,,
ACS,BZ,country,member,,
ACS,CO,country,member,,
ACS,CR,country,member,,
ACS,CU,country,member,,
ACS,CW,country,member,,
ACS,DM,country,member,,
ACS,DO,country,member,,
ACS,GD,country,member,,
ACS,GT,country,member,,
ACS,GY,country,member,,
ACS,HN,country,member,,
ACS,HT,country,member,,
ACS,JM,country,member,,
ACS,KN,country,member,,
ACS,LC,country,member,,
ACS,MF,country,member,,
ACS,MX,country,member,,
ACS,NI,country,member,,
ACS,PA,country,member,,
ACS,SR,country,member,,
ACS,SV,country,member,,
ACS,SX,country,member,,
ACS,TC,country,member,,
ACS,TT,country,member,,
ACS,VC,country,member,,
ACS,VE,country,member,,
ACSA,BZ,country,member,,
ACSA,CR,country,member,,
ACSA,GT,country,member,,
ACSA,HN,country,member,,
ACSA,NI,country,member,,
ACSA,SV,country,member,,
ACTHPR,BF,country,member,,
ACTHPR,BI,country,member,,
ACTHPR,BJ,country,member,,
ACTHPR,CD,country,member,,
ACTHPR,CG,country,member,,
ACTHPR,CI,country,member,,
ACTHPR,CM,country,member,,
ACTHPR,DZ,country,member,,
ACTHPR,EH,country,member,,
ACTHPR,GA,country,member,,
ACTHPR,GH,country,member,,
ACTHPR,GM,country,member,,
ACTHPR,GW,country,member,,
ACTHPR,KE,country,member,,
ACTHPR,KM,country,member,,
ACTHPR,LS,country,member,,
ACTHPR,LY,country,member,,
ACTHPR,MG,country,member,,
ACTHPR,ML,country,member,,
ACTHPR,MR,country,member,,
ACTHPR,MU,country,member,,
ACTHPR,MW,country,member,,
ACTHPR,MZ,country,member,,
ACTHPR,NE,country,member,,
